Rank,id,value,mesure,Year,Estación,nombre
14,366,0.025,out_deg_cent,2021,Porfirio Díaz - Augusto Rodin,366. Porfirio Díaz - Augusto Rodin (0.025)
15,35,0.025,out_deg_cent,2021,Liverpool - Génova,35. Liverpool - Génova (0.025)
16,33,0.025,out_deg_cent,2021,Londres - Florencia,33. Londres - Florencia (0.025)
17,327,0.025,out_deg_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.025)
18,270,0.025,out_deg_cent,2021,De la República - Ponciano Arriaga,270. De la República - Ponciano Arriaga (0.025)
19,27,0.025,out_deg_cent,2021,Reforma - Havre,27. Reforma - Havre (0.025)
20,260,0.025,out_deg_cent,2021,Juárez - Balderas,260. Juárez - Balderas (0.025)
21,208,0.025,out_deg_cent,2021,Hesíodo - Lamartine,208. Hesíodo - Lamartine (0.025)
22,206,0.025,out_deg_cent,2021,Moliere - Homero,206. Moliere - Homero (0.025)
23,194,0.025,out_deg_cent,2021,Circuito Mahatma Gandhi - Reforma,194. Circuito Mahatma Gandhi - Reforma (0.025)
24,158,0.025,out_deg_cent,2021,Huatabampo - Eje 1 Pte. Av. Cuauhtémoc,158. Huatabampo - Eje 1 Pte. Av. Cuauhtémoc (0.025)
25,139,0.025,out_deg_cent,2021,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.025)
26,141,0.025,out_deg_cent,2021,Zacatecas - Luis Cabrera,141. Zacatecas - Luis Cabrera (0.025)
27,150,0.025,out_deg_cent,2021,Campeche - Medellín,150. Campeche - Medellín (0.025)
28,111,0.025,out_deg_cent,2021,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.025)
29,153,0.025,out_deg_cent,2021,Manzanillo - Tlaxcala,153. Manzanillo - Tlaxcala (0.025)
30,47,0.025,out_deg_cent,2021,Plaza Madrid - Medellín,47. Plaza Madrid - Medellín (0.025)
31,163,0.025,out_deg_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.025)
32,165,0.025,out_deg_cent,2021,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.025)
33,184,0.025,out_deg_cent,2021,General Gómez Pedraza - Gobernador Tiburcio Montiel,184. General Gómez Pedraza - Gobernador Tiburcio Montiel (0.025)
34,134,0,out_deg_cent,2021,Álvaro Obregón - Orizaba,134. Álvaro Obregón - Orizaba (0.0)
35,204,0,out_deg_cent,2021,Temístocles - Homero,204. Temístocles - Homero (0.0)
36,281,0,out_deg_cent,2021,Pitágoras - La Morena,281. Pitágoras - La Morena (0.0)
37,302,0,out_deg_cent,2021,Luz Saviñón - Magdalena,302. Luz Saviñón - Magdalena (0.0)
38,86,0,out_deg_cent,2021,Sullivan - Insurgentes,86. Sullivan - Insurgentes (0.0)
39,11,0,out_deg_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.0)
40,149,0,out_deg_cent,2021,Mérida - Antonio M. Anza,149. Mérida - Antonio M. Anza (0.0)
0,1,0.05,close_cent,2021,Río Sena - Río Balsas,1. Río Sena - Río Balsas (0.05)
1,86,0.045,close_cent,2021,Sullivan - Insurgentes,86. Sullivan - Insurgentes (0.045)
2,11,0.045,close_cent,2021,Río Amazonas - Río Lerma,11. Río Amazonas - Río Lerma (0.045)
3,18,0.033333333,close_cent,2021,Reforma - Río Rhin,18. Reforma - Río Rhin (0.0333)
4,111,0.033333333,close_cent,2021,Guillermo Prieto - Joaquín Velázquez de León,111. Guillermo Prieto - Joaquín Velázquez de León (0.0333)
5,204,0.033333333,close_cent,2021,Temístocles - Homero,204. Temístocles - Homero (0.0333)
6,134,0.025,close_cent,2021,Álvaro Obregón - Orizaba,134. Álvaro Obregón - Orizaba (0.025)
7,302,0.025,close_cent,2021,Luz Saviñón - Magdalena,302. Luz Saviñón - Magdalena (0.025)
8,369,0.025,close_cent,2021,Porfirio Díaz - Avenida Insurgentes,369. Porfirio Díaz - Avenida Insurgentes (0.025)
9,366,0.025,close_cent,2021,Porfirio Díaz - Augusto Rodin,366. Porfirio Díaz - Augusto Rodin (0.025)
10,327,0.025,close_cent,2021,Georgia - Pensilvania,327. Georgia - Pensilvania (0.025)
11,206,0.025,close_cent,2021,Moliere - Homero,206. Moliere - Homero (0.025)
12,174,0.025,close_cent,2021,Joaquín García Icazbalceta - Ignacio Manuel Altamirano,174. Joaquín García Icazbalceta - Ignacio Manuel Altamirano (0.025)
13,165,0.025,close_cent,2021,Bajío - Eje 2 Pte. Monterrey,165. Bajío - Eje 2 Pte. Monterrey (0.025)
14,163,0.025,close_cent,2021,Toluca - Bajío,163. Toluca - Bajío (0.025)
15,183,0.025,close_cent,2021,Gabino Barreda - Guillermo Prieto,183. Gabino Barreda - Guillermo Prieto (0.025)
16,281,0.025,close_cent,2021,Pitágoras - La Morena,281. Pitágoras - La Morena (0.025)
17,135,0.025,close_cent,2021,Álvaro Obregón - Morelia,135. Álvaro Obregón - Morelia (0.025)
18,136,0.025,close_cent,2021,Álvaro Obregón - Tonalá,136. Álvaro Obregón - Tonalá (0.025)
19,149,0.025,close_cent,2021,Mérida - Antonio M. Anza,149. Mérida - Antonio M. Anza (0.025)
20,158,0,close_cent,2021,Huatabampo - Eje 1 Pte. Av. Cuauhtémoc,158. Huatabampo - Eje 1 Pte. Av. Cuauhtémoc (0.0)
21,33,0,close_cent,2021,Londres - Florencia,33. Londres - Florencia (0.0)
22,449,0,close_cent,2021,Acapulco - Puebla,449. Acapulco - Puebla (0.0)
23,426,0,close_cent,2021,Mayorazgo de Solís - Av. Popocatépetl (Eje 8),426. Mayorazgo de Solís - Av. Popocatépetl (Eje 8) (0.0)
24,41,0,close_cent,2021,Reforma - De la República,41. Reforma - De la República (0.0)
25,391,0,close_cent,2021,Oso - Félix Cuevas,391. Oso - Félix Cuevas (0.0)
26,125,0,close_cent,2021,Morelia - Circular de Morelia,125. Morelia - Circular de Morelia (0.0)
27,390,0,close_cent,2021,Oso - Félix Cuevas,390. Oso - Félix Cuevas (0.0)
28,35,0,close_cent,2021,Liverpool - Génova,35. Liverpool - Génova (0.0)
29,270,0,close_cent,2021,De la República - Ponciano Arriaga,270. De la República - Ponciano Arriaga (0.0)
30,139,0,close_cent,2021,Tonalá - Guanajuato,139. Tonalá - Guanajuato (0.0)
31,27,0,close_cent,2021,Reforma - Havre,27. Reforma - Havre (0.0)
32,260,0,close_cent,2021,Juárez - Balderas,260. Juárez - Balderas (0.0)
